# filename:lineno [module]function flags format
arch/x86/kernel/cpu/mtrr/cleanup.c:116 [cleanup]x86_get_mtrr_mem_range =_ "After UC checking\012"
arch/x86/kernel/cpu/mtrr/cleanup.c:86 [cleanup]x86_get_mtrr_mem_range =_ "MTRR MAP PFN: %016llx - %016llx\012"
arch/x86/kernel/cpu/mtrr/cleanup.c:83 [cleanup]x86_get_mtrr_mem_range =_ "After WB checking\012"
arch/x86/kernel/cpu/microcode/core.c:709 [microcode]mc_cpu_down_prep =_ "CPU%d removed\012"
arch/x86/kernel/cpu/microcode/core.c:695 [microcode]mc_cpu_online =_ "CPU%d added\012"
arch/x86/kernel/cpu/microcode/core.c:659 [microcode]mc_device_remove =_ "CPU%d removed\012"
arch/x86/kernel/cpu/microcode/core.c:640 [microcode]mc_device_add =_ "CPU%d added\012"
arch/x86/kernel/cpu/microcode/core.c:613 [microcode]microcode_init_cpu =_ "CPU%d updated upon init\012"
arch/x86/kernel/cpu/microcode/core.c:589 [microcode]microcode_resume_cpu =_ "CPU%d updated upon resume\012"
arch/x86/kernel/cpu/microcode/intel.c:949 [microcode]request_microcode_fw =_ "data file %s load failed\012"
arch/x86/kernel/cpu/microcode/intel.c:911 [microcode]generic_load_microcode =_ "CPU%d found a matching microcode update with version 0x%x (current=0x%x)\012"
arch/x86/kernel/cpu/mshyperv.c:187 [mshyperv]ms_hyperv_init_platform =_ "Hyper-V: max %u virtual processors, %u logical processors\012"
arch/x86/kernel/acpi/boot.c:1089 [boot]mp_config_acpi_legacy_irqs =_ "Bus #%d is ISA (nIRQs: %d)\012"
arch/x86/kernel/acpi/boot.c:960 [boot]acpi_parse_fadt =_ "ACPI: not registering RTC platform device\012"
arch/x86/kernel/acpi/boot.c:955 [boot]acpi_parse_fadt =_ "ACPI: i8042 controller is absent\012"
arch/x86/kernel/acpi/boot.c:948 [boot]acpi_parse_fadt =_ "ACPI: no legacy devices present\012"
arch/x86/kernel/smpboot.c:1391 [smpboot]native_smp_cpus_done =_ "Boot done\012"
arch/x86/kernel/smpboot.c:1112 [smpboot]native_cpu_up =_ "do_boot_cpu %d Already started\012"
arch/x86/kernel/smpboot.c:1099 [smpboot]native_cpu_up =_ "++++++++++++++++++++=_---CPU UP  %u\012"
arch/x86/kernel/smpboot.c:1010 [smpboot]do_boot_cpu =_ "Setting warm reset code and vector.\012"
arch/x86/kernel/smpboot.c:843 [smpboot]wakeup_secondary_cpu_via_init =_ "After Startup\012"
arch/x86/kernel/smpboot.c:826 [smpboot]wakeup_secondary_cpu_via_init =_ "Waiting for send to finish...\012"
arch/x86/kernel/smpboot.c:824 [smpboot]wakeup_secondary_cpu_via_init =_ "Startup point 1\012"
arch/x86/kernel/smpboot.c:804 [smpboot]wakeup_secondary_cpu_via_init =_ "After apic_write\012"
arch/x86/kernel/smpboot.c:800 [smpboot]wakeup_secondary_cpu_via_init =_ "Sending STARTUP #%d\012"
arch/x86/kernel/smpboot.c:797 [smpboot]wakeup_secondary_cpu_via_init =_ "#startup loops: %d\012"
arch/x86/kernel/smpboot.c:778 [smpboot]wakeup_secondary_cpu_via_init =_ "Waiting for send to finish...\012"
arch/x86/kernel/smpboot.c:772 [smpboot]wakeup_secondary_cpu_via_init =_ "Deasserting INIT\012"
arch/x86/kernel/smpboot.c:767 [smpboot]wakeup_secondary_cpu_via_init =_ "Waiting for send to finish...\012"
arch/x86/kernel/smpboot.c:756 [smpboot]wakeup_secondary_cpu_via_init =_ "Asserting INIT\012"
arch/x86/kernel/smpboot.c:729 [smpboot]wakeup_secondary_cpu_via_nmi =_ "NMI sent\012"
arch/x86/kernel/smpboot.c:716 [smpboot]wakeup_secondary_cpu_via_nmi =_ "Waiting for send to finish...\012"
arch/x86/kernel/smpboot.c:621 [smpboot]impress_friends =_ "Before bogocount - setting activated=1\012"
arch/x86/kernel/smpboot.c:612 [smpboot]impress_friends =_ "Before bogomips\012"
arch/x86/kernel/smpboot.c:204 [smpboot]smp_callin =_ "Stack at about %p\012"
arch/x86/kernel/smpboot.c:138 [smpboot]smpboot_setup_warm_reset_vector =_ "3.\012"
arch/x86/kernel/smpboot.c:135 [smpboot]smpboot_setup_warm_reset_vector =_ "2.\012"
arch/x86/kernel/smpboot.c:132 [smpboot]smpboot_setup_warm_reset_vector =_ "1.\012"
arch/x86/kernel/tsc_sync.c:324 [tsc_sync]check_tsc_sync_source =_ "TSC synchronization [CPU#%d -> CPU#%d]: passed\012"
arch/x86/kernel/apic/vector.c:957 [vector]print_PIC =_ "... PIC ELCR: %04x\012"
arch/x86/kernel/apic/vector.c:954 [vector]print_PIC =_ "... PIC  ISR: %04x\012"
arch/x86/kernel/apic/vector.c:944 [vector]print_PIC =_ "... PIC  IRR: %04x\012"
arch/x86/kernel/apic/vector.c:941 [vector]print_PIC =_ "... PIC  IMR: %04x\012"
arch/x86/kernel/apic/vector.c:936 [vector]print_PIC =_ "\012printing PIC contents\012"
arch/x86/kernel/apic/vector.c:906 [vector]print_local_APIC =_ "... APIC EILVT%d: %08x\012"
arch/x86/kernel/apic/vector.c:903 [vector]print_local_APIC =_ "... APIC ECTRL: %08x\012"
arch/x86/kernel/apic/vector.c:901 [vector]print_local_APIC =_ "... APIC EFEAT: %08x\012"
arch/x86/kernel/apic/vector.c:896 [vector]print_local_APIC =_ "... APIC TDCR: %08x\012"
arch/x86/kernel/apic/vector.c:894 [vector]print_local_APIC =_ "... APIC TMCCT: %08x\012"
arch/x86/kernel/apic/vector.c:892 [vector]print_local_APIC =_ "... APIC TMICT: %08x\012"
arch/x86/kernel/apic/vector.c:888 [vector]print_local_APIC =_ "... APIC LVTERR: %08x\012"
arch/x86/kernel/apic/vector.c:883 [vector]print_local_APIC =_ "... APIC LVT1: %08x\012"
arch/x86/kernel/apic/vector.c:881 [vector]print_local_APIC =_ "... APIC LVT0: %08x\012"
arch/x86/kernel/apic/vector.c:878 [vector]print_local_APIC =_ "... APIC LVTPC: %08x\012"
arch/x86/kernel/apic/vector.c:873 [vector]print_local_APIC =_ "... APIC LVTT: %08x\012"
arch/x86/kernel/apic/vector.c:870 [vector]print_local_APIC =_ "... APIC ICR2: %08x\012"
arch/x86/kernel/apic/vector.c:869 [vector]print_local_APIC =_ "... APIC ICR: %08x\012"
arch/x86/kernel/apic/vector.c:865 [vector]print_local_APIC =_ "... APIC ESR: %08x\012"
arch/x86/kernel/apic/vector.c:855 [vector]print_local_APIC =_ "... APIC IRR field:\012"
arch/x86/kernel/apic/vector.c:853 [vector]print_local_APIC =_ "... APIC TMR field:\012"
arch/x86/kernel/apic/vector.c:851 [vector]print_local_APIC =_ "... APIC ISR field:\012"
arch/x86/kernel/apic/vector.c:849 [vector]print_local_APIC =_ "... APIC SPIV: %08x\012"
arch/x86/kernel/apic/vector.c:846 [vector]print_local_APIC =_ "... APIC DFR: %08x\012"
arch/x86/kernel/apic/vector.c:843 [vector]print_local_APIC =_ "... APIC LDR: %08x\012"
arch/x86/kernel/apic/vector.c:839 [vector]print_local_APIC =_ "... APIC RRR: %08x\012"
arch/x86/kernel/apic/vector.c:830 [vector]print_local_APIC =_ "... APIC PROCPRI: %08x\012"
arch/x86/kernel/apic/vector.c:827 [vector]print_local_APIC =_ "... APIC ARBPRI: %08x (%02x)\012"
arch/x86/kernel/apic/vector.c:820 [vector]print_local_APIC =_ "... APIC TASKPRI: %08x (%02x)\012"
arch/x86/kernel/apic/vector.c:811 [vector]print_local_APIC =_ "printing local APIC contents on CPU#%d/%d:\012"
arch/x86/mm/init.c:451 [init]init_memory_mapping =_ "init_memory_mapping: [mem %#010lx-%#010lx]\012"
arch/x86/mm/init.c:405 [init]split_mem_range =_ " [mem %#010lx-%#010lx] page %s\012"
arch/x86/mm/init_64.c:1499 [init_64]vmemmap_populate_print_last =_ " [%lx-%lx] PMD -> [%p-%p] on node %d\012"
arch/x86/mm/init_64.c:1387 [init_64]vmemmap_populate_hugepages =_ " [%lx-%lx] PMD -> [%p-%p] on node %d\012"
arch/x86/mm/init_64.c:1219 [init_64]set_kernel_text_ro =_ "Set kernel text: %lx - %lx for read only\012"
arch/x86/mm/init_64.c:1200 [init_64]set_kernel_text_rw =_ "Set kernel text: %lx - %lx for read write\012"
arch/x86/mm/init_64.c:282 [init_64]set_pte_vaddr =_ "set_pte_vaddr %lx to %lx\012"
arch/x86/mm/init_64.c:196 [init_64]spp_getpage =_ "spp_getpage %p\012"
kernel/params.c:180 [params]parse_args =_ "doing %s, parsing ARGS: '%s'\012"
kernel/params.c:159 [params]parse_one =_ "Unknown argument '%s'\012"
kernel/params.c:155 [params]parse_one =_ "doing %s: %s='%s'\012"
kernel/params.c:145 [params]parse_one =_ "handling %s with %p\012"
kernel/async.c:300 [async]async_synchronize_cookie_domain =_ "async_continuing @ %i after %lli usec\012"
kernel/async.c:288 [async]async_synchronize_cookie_domain =_ "async_waiting @ %i\012"
kernel/async.c:130 [async]async_run_entry_fn =_ "initcall %lli_%pF returned 0 after %lld usecs\012"
kernel/async.c:120 [async]async_run_entry_fn =_ "calling  %lli_%pF @ %i\012"
kernel/power/snapshot.c:1871 [snapshot]enough_free_mem =p "PM: Normal pages needed: %u + %u, available pages: %u\012"
kernel/power/snapshot.c:1134 [snapshot]free_basic_memory_bitmaps =p "PM: Basic memory bitmaps freed\012"
kernel/power/snapshot.c:1098 [snapshot]create_basic_memory_bitmaps =p "PM: Basic memory bitmaps created\012"
kernel/power/snapshot.c:1045 [snapshot]mark_nosave_pages =p "PM: Marking nosave pages: [mem %#010llx-%#010llx]\012"
kernel/power/swap.c:1573 [swap]swsusp_close =p "PM: Image device not initialised\012"
kernel/power/swap.c:1561 [swap]swsusp_check =p "PM: Image not found (code %d)\012"
kernel/power/swap.c:1555 [swap]swsusp_check =p "PM: Image signature found, resuming\012"
kernel/power/swap.c:1518 [swap]swsusp_read =p "PM: Error %d resuming\012"
kernel/power/swap.c:1516 [swap]swsusp_read =p "PM: Image successfully loaded\012"
kernel/power/swap.c:891 [swap]enough_swap =p "PM: Free swap pages: %u\012"
kernel/irq/manage.c:672 [manage]__irq_set_trigger =_ "No set_type function for IRQ %d (%s)\012"
kernel/irq/irqdomain.c:1429 [irqdomain]__irq_domain_alloc_irqs =_ "cannot allocate memory for IRQ%d\012"
kernel/irq/irqdomain.c:1423 [irqdomain]__irq_domain_alloc_irqs =_ "cannot allocate IRQ(base %d, count %d)\012"
kernel/irq/irqdomain.c:1412 [irqdomain]__irq_domain_alloc_irqs =_ "domain->ops->alloc() is NULL\012"
kernel/irq/irqdomain.c:671 [irqdomain]irq_create_mapping =_ "irq %lu on domain %s mapped to virtual irq %u\012"
kernel/irq/irqdomain.c:661 [irqdomain]irq_create_mapping =_ "-> virq allocation failed\012"
kernel/irq/irqdomain.c:654 [irqdomain]irq_create_mapping =_ "-> existing mapping on virq %d\012"
kernel/irq/irqdomain.c:647 [irqdomain]irq_create_mapping =_ "-> using domain @%p\012"
kernel/irq/irqdomain.c:638 [irqdomain]irq_create_mapping =_ "irq_create_mapping(0x%p, 0x%lx)\012"
kernel/irq/irqdomain.c:611 [irqdomain]irq_create_direct_mapping =_ "create_direct obtained virq %d\012"
kernel/irq/irqdomain.c:602 [irqdomain]irq_create_direct_mapping =_ "create_direct virq allocation failed\012"
kernel/irq/irqdomain.c:573 [irqdomain]irq_domain_associate_many =_ "%s(%s, irqbase=%i, hwbase=%i, count=%i)\012"
kernel/irq/irqdomain.c:453 [irqdomain]irq_set_default_host =_ "Default domain set to @0x%p\012"
kernel/irq/irqdomain.c:256 [irqdomain]irq_domain_remove =_ "Removed domain %s\012"
kernel/irq/irqdomain.c:226 [irqdomain]__irq_domain_add =_ "Added domain %s\012"
kernel/irq/cpuhotplug.c:66 [cpuhotplug]migrate_one_irq =_ "IRQ %u: Unable to migrate away\012"
kernel/irq/msi.c:389 [msi]msi_domain_alloc_irqs =_ "irq [%d-%d] for MSI\012"
kernel/irq/msi.c:386 [msi]msi_domain_alloc_irqs =_ "irq %d for MSI\012"
kernel/freezer.c:84 [freezer]__refrigerator =_ "%s left refrigerator\012"
kernel/freezer.c:66 [freezer]__refrigerator =_ "%s entered refrigerator\012"
kernel/module.c:3847 [module]SYSC_finit_module =_ "finit_module: fd=%d, uargs=%p, flags=%i\012"
kernel/module.c:3827 [module]SYSC_init_module =_ "init_module: umod=%p, len=%lu, uargs=%p\012"
kernel/module.c:3183 [module]move_module =_ "\0110x%lx %s\012"
kernel/module.c:3164 [module]move_module =_ "final section addresses:\012"
kernel/module.c:2648 [module]layout_symtab =_ "\011%s\012"
kernel/module.c:2623 [module]layout_symtab =_ "\011%s\012"
kernel/module.c:2422 [module]layout_sections =_ "\011%s\012"
kernel/module.c:2409 [module]layout_sections =_ "Init section allocation order:\012"
kernel/module.c:2388 [module]layout_sections =_ "\011%s\012"
kernel/module.c:2376 [module]layout_sections =_ "Core section allocation order:\012"
kernel/module.c:2264 [module]simplify_symbols =_ "Absolute symbol: 0x%08lx\012"
kernel/module.c:2255 [module]simplify_symbols =_ "Common symbol: %s\012"
kernel/module.c:988 [module]SYSC_delete_module =_ "%s already dying\012"
kernel/module.c:882 [module]module_unload_free =_ "%s unusing %s\012"
kernel/module.c:838 [module]add_module_usage =_ "Allocating new usage for %s.\012"
kernel/module.c:823 [module]already_uses =_ "%s does not use %s!\012"
kernel/module.c:819 [module]already_uses =_ "%s uses %s!\012"
kernel/module.c:588 [module]find_symbol =_ "Failed to find symbol %s\012"
kernel/cgroup/cgroup.c:5056 [cgroup]cgroup_init_subsys =_ "Initializing cgroup subsys %s\012"
mm/swapfile.c:985 [swapfile]get_swap_pages =_ "scan_swap_map of si %d failed to find offset\012"
mm/sparse-vmemmap.c:143 [sparse_vmemmap]altmap_alloc_block_buf =_ "%s: pfn: %#lx alloc: %ld align: %ld nr: %#lx\012"
mm/memory_hotplug.c:981 [memory_hotplug]online_pages =_ "online_pages [mem %#010llx-%#010llx] failed\012"
mm/memory_hotplug.c:118 [memory_hotplug]register_memory_resource =_ "System RAM resource %pR cannot be added\012"
mm/memory_hotplug.c:116 [memory_hotplug]register_memory_resource =_ "Device unaddressable memory block memory hotplug at %#010llx !\012"
fs/notify/fsnotify.c:236 [fsnotify]send_to_group =_ "%s: group=%p to_tell=%p mask=%x inode_mark=%p inode_test_mask=%x vfsmount_mark=%p vfsmount_test_mask=%x data=%p data_is=%d cookie=%d\012"
fs/notify/notification.c:153 [notification]fsnotify_remove_first_event =_ "%s: group=%p\012"
fs/notify/notification.c:105 [notification]fsnotify_add_event =_ "%s: group=%p event=%p\012"
fs/notify/inotify/inotify_fsnotify.c:96 [inotify_fsnotify]inotify_handle_event =_ "%s: group=%p inode=%p mask=%x\012"
fs/notify/inotify/inotify_user.c:297 [inotify_user]inotify_ioctl =_ "%s: group=%p cmd=%u\012"
fs/notify/inotify/inotify_user.c:277 [inotify_user]inotify_release =_ "%s: group=%p\012"
fs/notify/inotify/inotify_user.c:239 [inotify_user]inotify_read =_ "%s: group=%p kevent=%p\012"
fs/notify/inotify/inotify_user.c:181 [inotify_user]copy_event_to_user =_ "%s: group=%p event=%p\012"
fs/notify/inotify/inotify_user.c:152 [inotify_user]get_one_event =_ "%s: group=%p event=%p\012"
fs/aio.c:1668 [aio]do_io_submit =_ "EINVAL: invalid context id\012"
fs/aio.c:1633 [aio]io_submit_one =_ "invalid aio operation %d\012"
fs/aio.c:1611 [aio]io_submit_one =_ "EFAULT: aio_key\012"
fs/aio.c:1605 [aio]io_submit_one =_ "EINVAL: aio_rw_flags\012"
fs/aio.c:1568 [aio]io_submit_one =_ "EINVAL: overflow check\012"
fs/aio.c:1558 [aio]io_submit_one =_ "EINVAL: reserve field set\012"
fs/aio.c:1449 [aio]SYSC_io_destroy =_ "EINVAL: invalid context id\012"
fs/aio.c:1398 [aio]C_SYSC_io_setup =_ "EINVAL: ctx %lu nr_events %u\012"
fs/aio.c:1367 [aio]SYSC_io_setup =_ "EINVAL: ctx %lu nr_events %u\012"
fs/aio.c:1274 [aio]aio_read_events_ring =_ "%li  h%u t%u\012"
fs/aio.c:1229 [aio]aio_read_events_ring =_ "h%u t%u m%u\012"
fs/aio.c:1169 [aio]aio_complete =_ "added to ring %p at [%u]\012"
fs/aio.c:1149 [aio]aio_complete =_ "%p[%u]: %p: %p %Lx %lx %lx\012"
fs/aio.c:816 [aio]ioctx_alloc =_ "error allocating ioctx %d\012"
fs/aio.c:800 [aio]ioctx_alloc =_ "allocated ioctx %p[%ld]: mm=%p mask=0x%x\012"
fs/aio.c:736 [aio]ioctx_alloc =_ "ENOMEM: nr_events too high\012"
fs/aio.c:595 [aio]free_ioctx =_ "freeing %p\012"
fs/aio.c:530 [aio]aio_setup_ring =_ "mmap address: 0x%08lx\012"
fs/aio.c:512 [aio]aio_setup_ring =_ "attempting mmap of %lu bytes\012"
fs/aio.c:498 [aio]aio_setup_ring =_ "pid(%d) page[%d]->count=%d\012"
fs/aio.c:305 [aio]aio_free_ring =_ "pid(%d) [%d] page->count=%d\012"
fs/aio.c:268 [aio]aio_setup =_ "sizeof(struct page) = %zu\012"
fs/binfmt_misc.c:492 [binfmt_misc]create_entry =_ "register: interpreter: {%s}\012"
fs/binfmt_misc.c:475 [binfmt_misc]create_entry =_ "register: extension: {%s}\012"
fs/binfmt_misc.c:433 [binfmt_misc]create_entry =_ "register: magic/mask length: %i\012"
fs/binfmt_misc.c:415 [binfmt_misc]create_entry =_ "register:  mask[raw]: none\012"
fs/binfmt_misc.c:394 [binfmt_misc]create_entry =_ "register: offset: %#x\012"
fs/binfmt_misc.c:373 [binfmt_misc]create_entry =_ "register: type: M (magic)\012"
fs/binfmt_misc.c:369 [binfmt_misc]create_entry =_ "register: type: E (extension)\012"
fs/binfmt_misc.c:364 [binfmt_misc]create_entry =_ "register: name: {%s}\012"
fs/binfmt_misc.c:347 [binfmt_misc]create_entry =_ "register: delim: %#x {%c}\012"
fs/binfmt_misc.c:326 [binfmt_misc]create_entry =_ "register: received %zu bytes\012"
fs/binfmt_misc.c:302 [binfmt_misc]check_special_flags =_ "register: flag: F: open interpreter file now\012"
fs/binfmt_misc.c:294 [binfmt_misc]check_special_flags =_ "register: flag: C (preserve creds)\012"
fs/binfmt_misc.c:289 [binfmt_misc]check_special_flags =_ "register: flag: O (open binary)\012"
fs/binfmt_misc.c:284 [binfmt_misc]check_special_flags =_ "register: flag: P (preserve argv0)\012"
fs/kernfs/mount.c:251 [mount]kernfs_fill_super =_ "%s: could not get root dentry!\012"
fs/kernfs/mount.c:244 [mount]kernfs_fill_super =_ "kernfs: could not get root inode\012"
fs/kernfs/dir.c:1268 [dir]__kernfs_remove =_ "kernfs %s: removing\012"
fs/configfs/file.c:123 [configfs]configfs_read_file =_ "%s: count = %zd, ppos = %lld, buf = %s\012"
fs/configfs/dir.c:566 [configfs]detach_attrs =_ "configfs %s: dropping attrs for  dir\012"
fs/configfs/dir.c:387 [configfs]remove_dir =_ " o %pd removing done (%d)\012"
fs/configfs/symlink.c:251 [configfs]configfs_get_target_path =_ "%s: path = '%s'\012"
fs/configfs/symlink.c:245 [configfs]configfs_get_target_path =_ "%s: depth = %d, size = %d\012"
fs/configfs/mount.c:94 [configfs]configfs_fill_super =_ "%s: could not get root dentry!\012"
fs/configfs/mount.c:88 [configfs]configfs_fill_super =_ "could not get root inode\012"
fs/configfs/item.c:155 [configfs]config_item_cleanup =_ "config_item %s: cleaning up\012"
fs/autofs4/inode.c:311 [autofs4]autofs4_fill_super =_ "pipe fd = %d, pgrp = %u\012"
fs/autofs4/inode.c:224 [autofs4]autofs4_fill_super =_ "starting up, sbi = %p\012"
fs/autofs4/inode.c:63 [autofs4]autofs4_kill_sb =_ "shutting down\012"
fs/autofs4/root.c:880 [autofs4]autofs4_root_ioctl_unlocked =_ "cmd = 0x%08x, arg = 0x%08lx, sbi = %p, pgrp = %u\012"
fs/autofs4/root.c:851 [autofs4]autofs4_ask_umount =_ "may umount %d\012"
fs/autofs4/root.c:749 [autofs4]autofs4_dir_mkdir =_ "dentry %p, creating %pd\012"
fs/autofs4/root.c:706 [autofs4]autofs4_dir_rmdir =_ "dentry %p, removing %pd\012"
fs/autofs4/root.c:568 [autofs4]autofs4_dir_symlink =_ "%s <- %pd\012"
fs/autofs4/root.c:525 [autofs4]autofs4_lookup =_ "pid = %u, pgrp = %u, catatonic = %d, oz_mode = %d\012"
fs/autofs4/root.c:515 [autofs4]autofs4_lookup =_ "name = %pd\012"
fs/autofs4/root.c:438 [autofs4]autofs4_d_manage =_ "dentry=%p %pd\012"
fs/autofs4/root.c:350 [autofs4]autofs4_d_automount =_ "dentry=%p %pd\012"
fs/autofs4/root.c:283 [autofs4]autofs4_mount_wait =_ "mount wait done status=%d\012"
fs/autofs4/root.c:281 [autofs4]autofs4_mount_wait =_ "waiting for mount name=%pd\012"
fs/autofs4/root.c:141 [autofs4]autofs4_dentry_release =_ "releasing %p\012"
fs/autofs4/root.c:111 [autofs4]autofs4_dir_open =_ "file=%p dentry=%p %pd\012"
fs/autofs4/waitq.c:497 [autofs4]autofs4_wait =_ "skipped sleeping\012"
fs/autofs4/waitq.c:468 [autofs4]autofs4_wait =_ "existing wait id = 0x%08lx, name = %.*s, nfy=%d\012"
fs/autofs4/waitq.c:458 [autofs4]autofs4_wait =_ "new wait id = 0x%08lx, name = %.*s, nfy=%d\012"
fs/autofs4/waitq.c:101 [autofs4]autofs4_notify_daemon =_ "wait id = 0x%08lx, name = %.*s, type=%d\012"
fs/autofs4/waitq.c:35 [autofs4]autofs4_catatonic_mode =_ "entering catatonic mode\012"
fs/autofs4/expire.c:535 [autofs4]autofs4_expire_wait =_ "expire done status=%d\012"
fs/autofs4/expire.c:530 [autofs4]autofs4_expire_wait =_ "waiting for expire %p name=%pd\012"
fs/autofs4/expire.c:494 [autofs4]autofs4_expire_indirect =_ "returning %p %pd\012"
fs/autofs4/expire.c:380 [autofs4]should_expire =_ "checking symlink %p %pd\012"
fs/autofs4/expire.c:367 [autofs4]should_expire =_ "checking mountpoint %p %pd\012"
fs/autofs4/expire.c:281 [autofs4]autofs4_check_leaves =_ "dentry %p %pd\012"
fs/autofs4/expire.c:277 [autofs4]autofs4_check_leaves =_ "parent %p %pd\012"
fs/autofs4/expire.c:231 [autofs4]autofs4_tree_busy =_ "dentry %p %pd\012"
fs/autofs4/expire.c:223 [autofs4]autofs4_tree_busy =_ "top %p %pd\012"
fs/autofs4/expire.c:192 [autofs4]autofs4_direct_busy =_ "top %p %pd\012"
fs/autofs4/expire.c:66 [autofs4]autofs4_mount_busy =_ "returning = %d\012"
fs/autofs4/expire.c:40 [autofs4]autofs4_mount_busy =_ "dentry %p %pd\012"
fs/debugfs/inode.c:290 [debugfs]start_creating =_ "debugfs: creating file '%s'\012"
fs/tracefs/inode.c:320 [tracefs]start_creating =_ "tracefs: creating file '%s'\012"
lib/percpu-refcount.c:137 [percpu_refcount]percpu_ref_switch_to_atomic_rcu =_ "global %ld percpu %ld"
drivers/pci/probe.c:2445 [probe]pci_scan_child_bus =_ "bus scan returning with max=%02x\012"
drivers/pci/probe.c:2418 [probe]pci_scan_child_bus =_ "fixups for bus\012"
drivers/pci/probe.c:2404 [probe]pci_scan_child_bus =_ "scanning bus\012"
drivers/pci/probe.c:993 [probe]pci_scan_bridge =_ "scanning [bus %02x-%02x] behind bridge, pass %d\012"
drivers/pci/probe.c:780 [probe]pci_register_host_bridge =_ "bus already known\012"
drivers/pci/pci.c:3654 [pci]pci_set_mwi =_ "enabling Mem-Wr-Inval\012"
drivers/pci/pci.c:3525 [pci]__pci_set_master =_ "%s bus mastering\012"
drivers/pci/pci.c:1890 [pci]pci_pme_active =_ "PME# %s\012"
drivers/pci/pci.c:1125 [pci]pci_restore_config_dword =_ "restoring config space at offset %#x (was %#x, writing %#x)\012"
drivers/pci/pci-driver.c:1181 [pci_driver]pci_pm_runtime_suspend =_ "can't suspend now (%pf returned %d)\012"
drivers/pci/setup-irq.c:58 [setup_irq]pci_assign_irq =_ "assign IRQ: got %d\012"
drivers/pci/setup-irq.c:28 [setup_irq]pci_assign_irq =_ "runtime IRQ mapping not provided by arch\012"
drivers/pci/slot.c:348 [slot]pci_destroy_slot =_ "dev %02x, dec refcount to %d\012"
drivers/pci/slot.c:324 [slot]pci_create_slot =_ "dev %02x, created physical slot %s\012"
drivers/pci/slot.c:108 [slot]pci_slot_release =_ "dev %02x, released physical slot %s\012"
drivers/pci/quirks.c:3131 [quirks]fixup_debug_report =_ "pci fixup %pF returned after %lld usecs for %s\012"
