NIS,Nº de ruedas,Ratio de pérdida,Año de consolidación,Último análisis
824269902,5,"0,660",2007,01/01/2014
412617503,9,"0,531",2010,16/01/2014
748068105,2,"0,549",2010,21/01/2014
824575605,1,"0,683",2011,17/01/2014
823899402,9,"0,657",2008,21/01/2014
851371401,1,"0,357",1997,04/01/2014
823518402,6,"0,014",2006,22/01/2014
404787603,6,"0,881",1999,03/01/2014
422599104,6,"0,738",2012,29/01/2014
823668502,8,"0,416",2011,03/01/2014
823676702,5,"0,967",1996,06/01/2014
824610502,1,"0,104",1997,14/01/2014
435532103,10,"0,251",2011,12/01/2014
451467803,1,"0,093",2004,28/01/2014
822778202,7,"0,968",2002,17/01/2014
400205103,3,"0,573",1995,08/01/2014
837619102,2,"0,175",2006,28/01/2014
441040003,10,"0,574",2006,26/01/2014
822365102,1,"0,827",1995,14/01/2014
458057203,7,"0,152",2005,27/01/2014
824488602,8,"0,199",2008,16/01/2014
825206502,5,"0,802",1999,22/01/2014
895162801,10,"0,338",2014,25/01/2014
821889402,9,"0,503",2008,07/01/2014
700314304,8,"0,581",2006,21/01/2014
824103402,9,"0,561",2003,26/01/2014
784992103,9,"0,496",2004,27/01/2014
823352802,3,"0,166",1997,08/01/2014
810877602,8,"0,780",2014,05/01/2014
730564003,9,"0,659",2000,12/01/2014
823556603,8,"0,198",2007,18/01/2014
455906903,4,"0,758",2001,13/01/2014
824443902,3,"0,530",1997,12/01/2014
842365803,1,"0,738",2006,12/01/2014
475417104,3,"0,831",2001,19/01/2014
409121404,8,"0,679",2005,03/01/2014
824002902,9,"0,395",2003,02/01/2014
720292903,7,"0,586",2001,07/01/2014
593413803,1,"0,167",1996,13/01/2014
430578502,1,"0,951",1999,02/01/2014
853484002,7,"0,007",2009,14/01/2014
823925202,1,"0,691",2012,01/01/2014
704126304,1,"0,799",2011,06/01/2014
468324804,9,"0,643",1999,19/01/2014
436250803,5,"0,090",2009,24/01/2014
411192003,6,"0,483",1997,21/01/2014
818862002,2,"0,431",2006,27/01/2014
815366602,9,"0,381",2000,20/01/2014
823222902,6,"0,423",1999,19/01/2014
824033302,9,"0,860",2000,25/01/2014
805469702,2,"0,264",1997,29/01/2014
821711302,1,"0,688",1996,31/01/2014
764017102,9,"0,092",1996,05/01/2014
490616503,1,"0,889",1999,19/01/2014
484544703,9,"0,715",2002,25/01/2014
796411203,5,"0,899",1997,17/01/2014
823576002,2,"0,940",2014,22/01/2014
730845002,2,"0,030",1999,21/01/2014
436038903,5,"0,990",2011,08/01/2014
832196602,10,"0,887",2004,27/01/2014
809388902,2,"0,428",1997,03/01/2014
857944002,8,"0,489",1996,04/01/2014
823283702,5,"0,842",1999,21/01/2014
816946002,1,"0,412",2011,06/01/2014
782623202,3,"0,916",2004,22/01/2014
417282003,10,"0,669",2004,07/01/2014
820093002,1,"0,377",2000,10/01/2014
489876602,8,"0,224",1998,04/01/2014
700879209,5,"0,093",1999,04/01/2014
845738203,2,"0,790",2004,01/01/2014
864392002,3,"0,817",2013,01/01/2014
715615604,4,"0,372",2006,31/01/2014
822642602,8,"0,097",2005,13/01/2014
490965003,5,"0,591",1995,27/01/2014
869701502,1,"0,348",2009,23/01/2014
421562504,8,"0,891",2000,22/01/2014
426507703,7,"0,135",1995,27/01/2014
431563003,4,"0,825",2011,11/01/2014
477415903,8,"0,048",1995,09/01/2014
776720803,3,"0,030",2010,10/01/2014
774423003,10,"0,292",2014,17/01/2014
823208902,2,"0,459",2000,19/01/2014
812092702,6,"0,471",2000,28/01/2014
824147802,10,"0,776",2000,19/01/2014
823154702,2,"0,814",2014,30/01/2014
803994903,7,"0,597",2005,22/01/2014
460532203,6,"0,817",2006,16/01/2014
802265802,7,"0,953",2007,04/01/2014
821964702,8,"0,268",2008,23/01/2014
735096103,9,"0,087",2008,03/01/2014
711457705,4,"0,206",2001,11/01/2014
815131102,10,"0,569",1995,28/01/2014
819919602,2,"0,444",1996,05/01/2014
431870403,9,"0,072",2003,13/01/2014
743880103,5,"0,612",1997,11/01/2014
708770703,7,"0,213",2001,06/01/2014
437525302,3,"0,296",1999,20/01/2014
732361103,7,"0,430",1999,19/01/2014
410457803,3,"0,082",2014,07/01/2014
463719203,2,"0,285",1996,23/01/2014
823785702,1,"0,891",2001,13/01/2014
718138004,9,"0,387",2007,15/01/2014
816163402,9,"0,369",2013,10/01/2014
486935905,8,"0,316",2013,17/01/2014
439316303,6,"0,728",2003,19/01/2014
829783302,8,"0,447",2014,16/01/2014
807182202,3,"0,511",2006,31/01/2014
822890102,3,"0,836",2012,21/01/2014
824691401,2,"0,502",2012,22/01/2014
591315603,1,"0,205",1999,12/01/2014
822221202,6,"0,877",2011,02/01/2014
459722203,7,"0,894",1997,14/01/2014
824112902,9,"0,750",2008,05/01/2014
481265203,9,"0,305",2012,28/01/2014
815800102,2,"0,870",1997,02/01/2014
466892805,7,"0,774",2011,24/01/2014
461686203,4,"0,422",2002,26/01/2014
824285302,6,"0,721",1996,22/01/2014
750817603,2,"0,309",2013,26/01/2014
824764202,5,"0,175",2001,17/01/2014
824121102,8,"0,258",2012,02/01/2014
824251302,4,"0,449",1996,21/01/2014
857944502,6,"0,061",2006,01/01/2014
823890302,10,"0,624",2007,11/01/2014
819042602,6,"0,431",2003,30/01/2014
793233302,8,"0,704",2005,27/01/2014
709395906,6,"0,145",2005,04/01/2014
478020004,5,"0,851",2013,04/01/2014
824763502,3,"0,279",2010,30/01/2014
822068404,9,"0,319",2011,13/01/2014
431032303,3,"0,974",2001,10/01/2014
823201502,7,"0,479",2000,11/01/2014
411102103,5,"0,638",2001,21/01/2014
444011503,7,"0,931",2008,11/01/2014
753416503,8,"0,621",2001,08/01/2014
404406407,4,"0,483",2010,18/01/2014
824443602,3,"0,869",2003,30/01/2014
819649602,1,"0,528",2001,04/01/2014
824509402,10,"0,447",2001,11/01/2014
822513002,2,"0,427",2008,25/01/2014
824367302,10,"0,269",2003,21/01/2014
823619002,8,"0,869",2011,11/01/2014
473885703,9,"0,994",1997,19/01/2014
818564901,4,"0,899",2007,12/01/2014
824494102,1,"0,615",2005,05/01/2014
787153603,6,"0,593",2013,13/01/2014
822347802,6,"0,466",1995,24/01/2014
824819502,4,"0,494",2012,19/01/2014
823930802,8,"0,238",2009,03/01/2014
729994403,9,"0,105",2003,07/01/2014
824648702,5,"0,387",2002,23/01/2014
442672704,4,"0,741",2014,23/01/2014
818859802,9,"0,173",2006,20/01/2014
427166203,10,"0,292",1998,03/01/2014
823519002,7,"0,143",2012,20/01/2014
419382403,7,"0,643",2006,22/01/2014
404962804,10,"0,825",2013,17/01/2014
443703102,4,"0,575",2008,03/01/2014
437258702,4,"0,437",2004,03/01/2014
822647902,8,"0,749",1995,19/01/2014
822148502,8,"0,338",2001,25/01/2014
422813503,6,"0,546",1998,30/01/2014
855059102,6,"0,829",2014,01/01/2014
790267903,8,"0,508",2012,23/01/2014
822510202,8,"0,243",2011,05/01/2014
825919102,4,"0,329",1998,26/01/2014
797323503,4,"0,396",2010,18/01/2014
822745202,3,"0,465",2000,06/01/2014
814842302,6,"0,752",2003,17/01/2014
829684402,3,"0,413",2001,02/01/2014
824798302,8,"0,661",1997,28/01/2014
819679702,3,"0,311",2000,17/01/2014
824689302,2,"0,721",1998,20/01/2014
401836302,3,"0,403",2013,11/01/2014
849581202,6,"0,529",2013,26/01/2014
494197103,4,"0,872",2002,28/01/2014
471812404,8,"0,194",1995,17/01/2014
747253703,3,"0,831",2008,10/01/2014
821381402,8,"0,987",1996,30/01/2014
746848603,3,"0,023",1996,21/01/2014
726987903,9,"0,713",2001,22/01/2014
801403302,4,"0,414",2002,02/01/2014
409156402,7,"0,966",1999,01/01/2014
405496903,2,"0,668",2009,21/01/2014
405490103,2,"0,350",2014,04/01/2014
823300702,9,"0,498",1995,08/01/2014
821460702,6,"0,604",2010,29/01/2014
861511902,9,"0,188",1998,29/01/2014
701766805,3,"0,031",2001,14/01/2014
770690903,3,"0,157",2001,10/01/2014
822989204,9,"0,115",2004,25/01/2014
465325003,5,"0,983",2014,13/01/2014
823402702,8,"0,626",2011,24/01/2014
712985903,1,"0,498",2003,07/01/2014
458690403,1,"0,143",2014,20/01/2014
824425602,5,"0,707",1998,18/01/2014
823251002,9,"0,613",2007,28/01/2014
421140003,6,"0,666",2010,09/01/2014
447409803,5,"0,341",2010,11/01/2014
824088402,6,"0,771",2008,10/01/2014
468431103,6,"0,755",1999,14/01/2014
787114303,8,"0,798",1996,30/01/2014
821451802,8,"0,154",2003,17/01/2014
455035203,4,"0,364",2010,27/01/2014
465309906,1,"0,665",1996,12/01/2014
823015602,4,"0,019",1998,09/01/2014
728285204,2,"0,075",2011,14/01/2014
816645802,9,"0,602",1998,13/01/2014
467616803,3,"0,315",2006,19/01/2014
448222403,4,"0,392",2004,22/01/2014
750356203,7,"0,582",2007,20/01/2014
823946602,3,"0,520",2014,25/01/2014
405060605,8,"0,428",2014,12/01/2014
852890102,7,"0,820",2007,21/01/2014
474224503,7,"0,014",2012,13/01/2014
822902602,7,"0,264",2009,26/01/2014
491592203,2,"0,896",2007,12/01/2014
822906702,7,"0,665",1996,09/01/2014
495517503,2,"0,995",2007,19/01/2014
465753503,6,"0,556",2012,19/01/2014
410619904,9,"0,619",1999,08/01/2014
463723603,1,"0,806",2000,02/01/2014
777301403,9,"0,433",2004,01/01/2014
420950103,7,"0,480",2013,02/01/2014
476808504,5,"0,478",2001,10/01/2014
823456102,2,"0,728",2011,23/01/2014
820457202,3,"0,571",2010,15/01/2014
824783602,6,"0,835",2007,18/01/2014
823883203,10,"0,696",2013,17/01/2014
415710203,8,"0,391",2011,18/01/2014
412278203,7,"0,836",2006,15/01/2014
821679902,5,"0,135",2000,08/01/2014
824999402,1,"0,245",2014,02/01/2014
821238602,6,"0,628",1997,17/01/2014
456367003,9,"0,523",2003,29/01/2014
824226202,5,"0,079",2010,21/01/2014
823157402,4,"0,235",2000,26/01/2014
814873302,5,"0,325",2013,23/01/2014
882409801,2,"0,148",1995,04/01/2014
793227602,10,"0,425",2009,31/01/2014
817786102,7,"0,608",2012,07/01/2014
467466104,1,"0,633",2005,09/01/2014
823638902,8,"0,788",2004,06/01/2014
822118502,9,"0,900",1997,14/01/2014
801282403,5,"0,921",2006,06/01/2014
787742002,8,"0,098",2011,06/01/2014
799873402,1,"0,561",2008,26/01/2014
743346003,5,"0,836",2009,07/01/2014
815707904,6,"0,448",2002,07/01/2014
825205902,6,"0,142",2001,21/01/2014
838449502,2,"0,989",2008,05/01/2014
494686103,6,"0,860",2007,20/01/2014
820329002,7,"0,938",2013,28/01/2014
445935004,4,"0,446",2002,25/01/2014
824095302,4,"0,322",1997,26/01/2014
415013803,3,"0,061",2001,31/01/2014
823268702,9,"0,361",2010,10/01/2014
824233202,6,"0,776",2001,02/01/2014
808145402,6,"0,253",2008,17/01/2014
822466303,5,"0,984",2007,29/01/2014
824494702,5,"0,013",2006,23/01/2014
823319802,2,"0,842",2006,26/01/2014
410233403,1,"0,035",2000,16/01/2014
895036501,7,"0,723",1998,26/01/2014
825134002,9,"0,719",2011,15/01/2014
468352603,8,"0,620",1995,16/01/2014
737469703,3,"0,393",1995,30/01/2014
456459303,5,"0,751",2002,12/01/2014
821981902,1,"0,734",2010,20/01/2014
819434202,8,"0,900",2009,15/01/2014
823768902,7,"0,577",2010,08/01/2014
822006903,7,"0,742",1997,16/01/2014
831895603,6,"0,356",2011,14/01/2014
824142302,4,"0,050",2013,16/01/2014
822903302,9,"0,654",1997,27/01/2014
865891602,4,"0,078",2011,05/01/2014
823251102,7,"0,966",2005,30/01/2014
410173404,5,"0,309",1998,26/01/2014
410757103,10,"0,581",2003,16/01/2014
464674004,6,"0,045",2009,10/01/2014
463790903,6,"0,822",2013,31/01/2014
796875403,2,"0,714",1997,20/01/2014
824527902,1,"0,083",2012,29/01/2014
824729102,2,"0,190",2011,21/01/2014
429549005,10,"0,486",2008,08/01/2014
816868702,10,"0,796",2013,07/01/2014
835395602,8,"0,150",2009,19/01/2014
410957603,9,"0,129",2012,24/01/2014
775934103,7,"0,433",2010,23/01/2014
456697304,8,"0,310",2014,25/01/2014
456260603,3,"0,263",2013,05/01/2014
823985802,9,"0,242",2011,13/01/2014
822000302,4,"0,686",2006,04/01/2014
824354102,1,"0,049",2012,07/01/2014
449321203,3,"0,265",2010,20/01/2014
825049102,7,"0,642",1996,14/01/2014
474970203,6,"0,014",2014,04/01/2014
816955202,8,"0,302",2004,25/01/2014
473296303,8,"0,895",1998,11/01/2014
823481502,4,"0,134",2001,06/01/2014
709924203,4,"0,439",2005,24/01/2014
403593804,10,"0,395",2011,07/01/2014
824512002,3,"0,309",2002,31/01/2014
720749603,9,"0,861",2007,28/01/2014
823292602,1,"0,568",2005,08/01/2014
824445302,6,"0,693",2009,13/01/2014
411241903,8,"0,857",2012,03/01/2014
813164702,5,"0,774",1997,14/01/2014
491408903,10,"0,621",2005,03/01/2014
449368203,8,"0,594",2014,18/01/2014
855939202,8,"0,075",2001,18/01/2014
824296902,6,"0,638",2008,03/01/2014
416892603,2,"0,741",2012,04/01/2014
824767002,10,"0,983",2002,12/01/2014
757863704,10,"0,714",2011,02/01/2014
451234505,4,"0,811",2002,22/01/2014
824582302,6,"0,226",2000,14/01/2014
875151502,3,"0,765",2013,30/01/2014
823999602,6,"0,004",2013,19/01/2014
438177705,10,"0,217",2004,05/01/2014
488421603,9,"0,793",2006,14/01/2014
488677905,6,"0,160",1998,16/01/2014
781768308,10,"0,103",2012,13/01/2014
421056504,7,"0,739",2009,22/01/2014
823347002,5,"0,898",1996,10/01/2014
402088406,3,"0,682",2003,03/01/2014
814899202,6,"0,348",2000,19/01/2014
871125502,2,"0,306",2007,04/01/2014
822457002,9,"0,561",1998,11/01/2014
744351403,6,"0,929",2008,10/01/2014
750352803,3,"0,773",2001,16/01/2014
879252101,1,"0,544",2009,12/01/2014
822754102,10,"0,702",2005,20/01/2014
824003002,5,"0,485",2005,11/01/2014
768419703,2,"0,772",2001,05/01/2014
804262502,3,"0,468",1999,07/01/2014
825769302,2,"0,393",1995,05/01/2014
735084104,2,"0,423",2005,15/01/2014
817495302,9,"0,491",2013,30/01/2014
463326304,6,"0,149",1997,29/01/2014
435535103,8,"0,378",2012,02/01/2014
473923004,1,"0,168",1997,05/01/2014
823295902,4,"0,010",2002,05/01/2014
454232306,5,"0,933",2001,22/01/2014
477874306,10,"0,452",2008,07/01/2014
814209202,2,"0,517",2000,04/01/2014
716181603,4,"0,931",2014,19/01/2014
814621302,6,"0,505",2002,28/01/2014
745809302,4,"0,636",2013,17/01/2014
824267302,10,"0,145",2014,03/01/2014
824705903,6,"0,052",2007,23/01/2014
821892702,3,"0,463",2014,03/01/2014
740038803,10,"0,925",2005,02/01/2014
464202403,9,"0,174",2009,27/01/2014
790622603,1,"0,121",2006,26/01/2014
761414306,6,"0,288",2008,05/01/2014
876764401,3,"0,395",1997,06/01/2014
869523903,5,"0,115",2009,02/01/2014
824990402,10,"0,553",2008,31/01/2014
823892002,6,"0,486",2011,17/01/2014
475624203,3,"0,726",1996,16/01/2014
470415005,7,"0,180",2009,10/01/2014
822714602,5,"0,497",2001,29/01/2014
804264702,3,"0,017",1998,09/01/2014
793233002,2,"0,409",2000,21/01/2014
465899603,5,"0,694",2008,27/01/2014
789838003,5,"0,907",1995,22/01/2014
861798502,1,"0,681",2014,27/01/2014
446878804,9,"0,143",2005,17/01/2014
721597502,8,"0,993",1996,07/01/2014
843391502,8,"0,723",2000,30/01/2014
718924102,9,"0,941",2007,24/01/2014
593696003,1,"0,061",1998,02/01/2014
816274603,1,"0,017",1995,18/01/2014
822740702,1,"0,084",2010,26/01/2014
841195104,4,"0,786",1995,17/01/2014
803994303,5,"0,579",2002,28/01/2014
821950702,4,"0,971",2007,17/01/2014
823153502,9,"0,960",1996,05/01/2014
820278702,1,"0,674",2000,16/01/2014
467449103,10,"0,951",2000,28/01/2014
824018002,5,"0,911",2007,19/01/2014
813615502,5,"0,064",2010,19/01/2014
820794402,9,"0,656",2004,18/01/2014
404367604,3,"0,022",2009,08/01/2014
729072403,1,"0,720",2001,15/01/2014
824107602,7,"0,972",2005,05/01/2014
823536702,2,"0,278",2001,22/01/2014
402357803,10,"0,608",1995,12/01/2014
824600402,1,"0,913",2001,27/01/2014
821637002,7,"0,542",2014,04/01/2014
429196205,1,"0,054",1996,24/01/2014
880106301,5,"0,255",2010,01/01/2014
820327902,5,"0,749",1996,16/01/2014
769620703,3,"0,237",2001,28/01/2014
401247503,7,"0,407",2010,16/01/2014
823257402,5,"0,304",2001,11/01/2014
437863505,2,"0,912",2005,15/01/2014
431391403,4,"0,420",2013,13/01/2014
724558804,1,"0,952",2011,04/01/2014
408129203,3,"0,389",2014,01/01/2014
823634802,9,"0,525",1997,01/01/2014
433625003,10,"0,630",2011,07/01/2014
823644802,9,"0,389",2005,13/01/2014
823251502,3,"0,586",1996,18/01/2014
847435803,10,"0,171",1996,18/01/2014
819972502,4,"0,262",2014,04/01/2014
435525903,2,"0,563",2000,03/01/2014
824803402,3,"0,490",2002,16/01/2014
823459503,8,"0,469",2008,19/01/2014
479072603,7,"0,197",2014,02/01/2014
817790203,8,"0,097",2004,17/01/2014
767584803,4,"0,098",2002,16/01/2014
411106203,4,"0,622",2013,02/01/2014
494353203,8,"0,821",1999,09/01/2014
494251503,3,"0,089",2003,01/01/2014
765778805,3,"0,632",2000,06/01/2014
821951402,2,"0,493",2000,19/01/2014
455347103,8,"0,071",2001,02/01/2014
458901903,10,"0,402",2013,09/01/2014
465615504,7,"0,187",2014,10/01/2014
741293405,4,"0,679",2009,15/01/2014
850130002,1,"0,176",2000,11/01/2014
459435603,3,"0,120",1996,26/01/2014
463509605,1,"0,738",2012,10/01/2014
766503103,9,"0,209",2002,15/01/2014
436625903,10,"0,827",2000,23/01/2014
497869402,5,"0,847",2012,26/01/2014
401403303,6,"0,499",2004,25/01/2014
764317103,3,"0,061",2012,09/01/2014
856706702,6,"0,629",2002,03/01/2014
823290202,5,"0,406",2006,08/01/2014
846383402,10,"0,783",2012,02/01/2014
824043702,7,"0,655",2008,24/01/2014
824279202,4,"0,798",2006,04/01/2014
824057602,5,"0,106",2005,17/01/2014
735375303,10,"0,237",2009,07/01/2014
817079302,2,"0,241",2009,02/01/2014
823157202,6,"0,656",1996,20/01/2014
403028303,3,"0,198",2011,25/01/2014
434459603,7,"0,279",2004,11/01/2014
429500503,1,"0,215",2010,30/01/2014
476626403,8,"0,491",2014,04/01/2014
824306402,8,"0,471",1995,18/01/2014
429626503,6,"0,585",2008,02/01/2014
403717204,8,"0,173",2006,14/01/2014
824480702,5,"0,722",2013,04/01/2014
464940005,1,"0,673",2000,09/01/2014
824202102,7,"0,237",2009,12/01/2014
819641702,4,"0,280",2007,10/01/2014
822194702,8,"0,804",2006,17/01/2014
818615102,3,"0,589",2008,27/01/2014
483722903,10,"0,731",2005,16/01/2014
815369703,6,"0,344",2001,12/01/2014
824463502,6,"0,480",2013,04/01/2014
823939003,5,"0,814",1997,05/01/2014
824440102,4,"0,252",2009,17/01/2014
704409703,7,"0,030",2000,26/01/2014
777715104,3,"0,900",2001,01/01/2014
824383102,2,"0,175",1998,10/01/2014
425763403,6,"0,888",2006,25/01/2014
824210602,7,"0,599",1998,12/01/2014
858079502,2,"0,008",2004,01/01/2014
441065503,9,"0,553",2005,31/01/2014
440196603,9,"0,487",2005,05/01/2014
817149902,7,"0,019",2010,07/01/2014
821248802,2,"0,350",2003,23/01/2014
497255303,7,"0,373",2004,05/01/2014
822715302,5,"0,242",2012,15/01/2014
592835103,2,"0,433",2011,17/01/2014
810190602,6,"0,657",1997,19/01/2014
593336303,6,"0,559",2007,10/01/2014
821598502,9,"0,764",1999,09/01/2014
451368003,5,"0,767",2006,16/01/2014
440618803,10,"0,859",1996,12/01/2014
886536201,4,"0,065",2003,22/01/2014
822059702,9,"0,766",2013,28/01/2014
760798702,10,"0,579",2011,15/01/2014
797922303,9,"0,954",2009,13/01/2014
455238003,2,"0,813",1995,12/01/2014
439890103,3,"0,403",2001,11/01/2014
458840504,7,"0,487",1996,15/01/2014
461994803,5,"0,636",2003,08/01/2014
775567807,1,"0,771",2010,03/01/2014
823889902,9,"0,764",1996,19/01/2014
816271802,8,"0,200",2009,17/01/2014
580345803,5,"0,409",2001,08/01/2014
835606303,1,"0,534",2013,19/01/2014
822004502,7,"0,625",2001,31/01/2014
824258602,5,"0,000",2001,24/01/2014
824868302,3,"0,165",2006,19/01/2014
447808103,1,"0,941",2003,08/01/2014
878481201,1,"0,085",2010,14/01/2014
485747403,4,"0,399",2008,28/01/2014
786338304,5,"0,963",2005,31/01/2014
591933703,6,"0,365",2004,13/01/2014
822019802,5,"0,916",1997,29/01/2014
821555102,1,"0,685",2007,23/01/2014
820763102,2,"0,443",2011,16/01/2014
820426702,4,"0,329",2000,24/01/2014
815407102,6,"0,389",2014,21/01/2014
786681302,3,"0,757",2013,16/01/2014
819281502,9,"0,101",2007,29/01/2014
810859202,3,"0,227",2010,23/01/2014
408923203,5,"0,091",2001,12/01/2014
824727902,7,"0,169",2001,01/01/2014
418701003,2,"0,229",2009,02/01/2014
823923402,8,"0,966",2002,12/01/2014
456037904,2,"0,496",1998,23/01/2014
824960602,6,"0,487",1998,22/01/2014
813050402,8,"0,646",1998,09/01/2014
823120202,5,"0,884",2006,05/01/2014
422492705,10,"0,306",2004,25/01/2014
447608303,8,"0,522",2006,13/01/2014
813345003,5,"0,542",2001,22/01/2014
742786205,2,"0,316",2002,15/01/2014
824432402,3,"0,894",2012,02/01/2014
410629108,1,"0,637",2003,01/01/2014
432288903,2,"0,806",2000,14/01/2014
823698803,8,"0,642",2011,16/01/2014
823247502,10,"0,618",2005,19/01/2014
811297503,9,"0,978",1999,15/01/2014
817171502,9,"0,966",2008,23/01/2014
463394603,10,"0,943",2007,29/01/2014
823381902,1,"0,173",2001,31/01/2014
823614502,5,"0,804",2003,06/01/2014
823257104,9,"0,258",2014,01/01/2014
458769903,2,"0,559",2001,16/01/2014
435341205,2,"0,300",1996,26/01/2014
823532601,5,"0,398",2003,27/01/2014
429598108,3,"0,493",2009,02/01/2014
817806901,8,"0,668",1998,22/01/2014
824609702,3,"0,151",2013,04/01/2014
833645702,3,"0,124",2008,18/01/2014
446496703,6,"0,663",2003,18/01/2014
487457103,5,"0,184",1999,18/01/2014
815792202,2,"0,404",1999,23/01/2014
726922603,3,"0,486",2003,11/01/2014
475745203,9,"0,071",2000,03/01/2014
823897202,1,"0,221",1998,28/01/2014
823786202,4,"0,607",2006,06/01/2014
412209403,8,"0,117",2014,15/01/2014
881642301,1,"0,688",2014,18/01/2014
716596903,8,"0,819",2002,17/01/2014
701437204,8,"0,135",1997,27/01/2014
821637702,1,"0,677",2011,19/01/2014
436733703,8,"0,074",1998,17/01/2014
422561304,4,"0,717",2006,17/01/2014
737310203,8,"0,348",2010,02/01/2014
707377805,7,"0,596",1995,17/01/2014
414313003,10,"0,678",2006,26/01/2014
823769303,2,"0,735",2002,27/01/2014
449793504,1,"0,062",2001,18/01/2014
825205702,9,"0,372",2011,01/01/2014
825024803,3,"0,948",1995,15/01/2014
820100202,10,"0,560",2001,13/01/2014
722152503,10,"0,400",1999,13/01/2014
826929202,7,"0,710",2002,18/01/2014
491409504,5,"0,013",2005,12/01/2014
475726203,10,"0,990",1996,03/01/2014
471587803,8,"0,795",1997,13/01/2014
425902403,3,"0,734",2014,01/01/2014
414506903,6,"0,819",1999,27/01/2014
824531202,10,"0,864",2014,28/01/2014
818840503,7,"0,360",2012,23/01/2014
824076002,5,"0,700",1996,17/01/2014
473576906,10,"0,223",2008,04/01/2014
768307702,1,"0,381",2009,02/01/2014
460755403,10,"0,761",2011,03/01/2014
792663103,5,"0,022",2000,12/01/2014
824324401,9,"0,339",2005,27/01/2014
823797802,9,"0,244",2009,02/01/2014
466797103,5,"0,992",2008,15/01/2014
403096303,6,"0,972",2002,14/01/2014
824290502,3,"0,631",2003,02/01/2014
822825502,2,"0,693",2011,12/01/2014
830887402,2,"0,361",2004,09/01/2014
819292003,4,"0,175",1995,29/01/2014
748256304,1,"0,980",2002,17/01/2014
401297803,9,"0,836",2006,19/01/2014
813945903,9,"0,898",1997,11/01/2014
824563802,4,"0,323",2014,25/01/2014
